;;;;;;;;;;;;;;;;;;;;;;;TR Cartera;;farmacia;Carn Matilde;Hisenda 50 2;Devoluci¢ Hisenda;Ajunt. Arb£cies;Seguretat Social;;Pago ElCorteInglÇs;;;FeuVert;;Perruqueria;;SelfPrinting;Primark;Aldi;Action Girona;FeuVert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Moviments Despeses / Ingressos;;;;;;;;;;;;;T.Moneder;0;;;;;;;;restaurant;Carn. Arimany;IngrÇs Client;Xarrup Sou;Oncolliga;Ocaso;;Accions S&P500;;;IKEA mobles;;IngrÇs Casa;;Prolab;Sports Arb£cies;Novavenda;Aliexpress;IKEA mobles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;BBVA;-2157;;;; ;;;;neteja;Carrefour;Pensi¢ no contributiva;Ingres Extra;PJ Isabel;Agents Comercials;;Accions NVIDIA;;;Back Market;;Retirada casa;;Pixarprinting;Woman Secret;Action Girona;El Corte InglÇs;Back Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID_mov;Banc;FormaPago;Data;mes;any;import ingrÇs;Import cÖrrec;grup;Idcategoria;Idconcepte;Comentari;Columna1;;;La Caixa;102,28;;;;;;;;personal;Dia;Paga Extra Jordi;Cobro Banc;Lloguer Parking;;;TR Cashback;;;LIDL;;Transport;;Moldiber;Primark;IKEA menjar;Compra mïbil;LIDL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;BBVA;Compte;05/03/2021;marzo;2021;451,92 ?;;IngrÇs;ingres_general;Abonament Ajuda Isabel;;;Efectiu;12823,8;25594,95;;;;;;;;;;Oli Jaen.MaCarmen;;;;;;;;;;;Papereria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;BBVA;Compte;05/03/2021;marzo;2021;;66,55 ?;CÖrrec;despesa_general;Masmïvil;;;Efectiu;;36;;;;;;;;;;Ous casolans;;;;;;;;;;;Curs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;BBVA;Compte;05/03/2021;marzo;2021;;11,85 ?;CÖrrec;asseguranáa;DP Morts Enric;;;(en blanc);12823,8;19015,38;3.056,33 ?;LaCaixa;;;;;;;;Ous super;;;;;;;;;;;Certificat/registre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17;BBVA;Däbit;05/03/2021;marzo;2021;;50,00 ?;op_banc;op_banc;Reintegre Caixer;;;;;6543,57;;;;;;;;;;Pa i pastisseria;;;;;;;;;;;Loteria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18;BBVA;Compte;08/03/2021;marzo;2021;;22,50 ?;CÖrrec;asseguranáa;DP MP Mireia;;;LaCaixa;47328,55;44374,5;0,00 ?;;;;;;;;;Peixeteria;;;;;;;;;;;Regal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19;BBVA;Compte;08/03/2021;marzo;2021;;18,64 ?;CÖrrec;asseguranáa;DP Especialistes Mireia;;;Compte;47328,55;44374,5;;;;;;;;;;Plaáa;;;;;;;;;;;Fianáa Parking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;20;BBVA;Compte;09/03/2021;marzo;2021;50,00 ?;;IngrÇs;ingres_general;Hisenda;;;T.CorteInglÇs;144,63;1711,32;;;;;;;;;;Poste Valls.Arb£cies;;;;;;;;;;;Tintoreria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21;BBVA;Däbit;09/03/2021;marzo;2021;;16,22 ?;CÖrrec;menjar;Dia;;;T.CorteInglÇs;144,63;1711,32;336,82 ?;Trade R;;;;;;;;Supeco;;;;;;;;;;;Fotos Clarel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22;BBVA;Compte;10/03/2021;marzo;2021;50,00 ?;;IngrÇs;ingres_general;Hisenda;;;T.Moneder;40;20;;;;;;;;;;Super Villa-Teresa;;;;;;;;;;;Interesos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;BBVA;Däbit;10/03/2021;marzo;2021;;53,99 ?;CÖrrec;menjar;BonPreu;;;Compte;40;20;20,00 ?;;;;;;;;;Taronges Cisco;;;;;;;;;;;Podïleg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;LaCaixa;Compte;10/03/2021;marzo;2021;;47,28 ?;CÖrrec;despesa_general;Ajunt. Arb£cies;;;TradeRep.;7616,79;7279,97;;;;;;;;;;Veh° Moro;;;;;;;;;;;„ptica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25;BBVA;Däbit;11/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;Compte;7616,79;1572,47;;;;;;;;;;Vents i Marees;;;;;;;;;;;Festa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26;BBVA;Däbit;12/03/2021;marzo;2021;;11,53 ?;CÖrrec;menjar;AreaGuissona;;;Däbit;;5707,5;7.250,30 ?;;;;;;;;;Xarcut. La taverna;;;;;;;;;;;Rentar cotxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;BBVA;Däbit;15/03/2021;marzo;2021;;50,00 ?;op_banc;op_banc;Reintegre Caixer;;;TR Cartera;374,56;;;;;;;;;;;Cash Levante;;;;;;;;;;;Fira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;BBVA;Compte;15/03/2021;marzo;2021;281,19 ?;;IngrÇs;ingres_general;NN Enric;;;Compte;374,56;;;;;;;;;;;Jysk;;;;;;;;;;;IA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;BBVA;Däbit;18/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;Total general;266393,52;280594,916;;;;;;;;;;Mas&Mas;;;;;;;menjar;gasolina;restaurant;farmÖcia;neteja;varis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;BBVA;Däbit;22/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;;;;;;;;;;;;;La Sirena;;;;;;;500;140;220;25;125;120;1130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;31;BBVA;Däbit;22/03/2021;marzo;2021;;8,90 ?;CÖrrec;menjar;Dia;;;;;;;;;;;;;;;La Sirena;;;;;01/08/2024;;600;140;200;25;35;200;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;33;BBVA;Däbit;24/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;;;;;;;;;;;;;Sorli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;34;LaCaixa;Compte;24/03/2021;marzo;2021;402,80 ?;;IngrÇs;ingres_general;Pensi¢ no contributiva;;;Valor superat: restaurant, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;LaCaixa;Compte;24/03/2021;marzo;2021;164,48 ?;;IngrÇs;ingres_general;Complement Generalitat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;BBVA;Compte;25/03/2021;marzo;2021;50,00 ?;;IngrÇs;ingres_general;Hisenda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;BBVA;Däbit;25/03/2021;marzo;2021;;12,05 ?;CÖrrec;menjar;Dia;;;;;;;;;;;;;;;;;fixes;menjar;rebost;gasolina;restaurant;farmÖcia;neteja;varis;proveidor;Suma despeses;despesa total-despesa N;DESP efectiu;(IngrÇs-fixe)-desp sense efectiu;;proveidors;varis-proveidors;;despeses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;BBVA;Däbit;29/03/2021;marzo;2021;;14,67 ?;CÖrrec;neteja;Clarel;;;;;;;;;;;;;;;;ene-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;ene-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;BBVA;Däbit;29/03/2021;marzo;2021;;20,00 ?;op_banc;op_banc;Reintegre Caixer;;;;;;;;;;;;;;;;feb-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;feb-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;BBVA;Däbit;29/03/2021;marzo;2021;;8,17 ?;CÖrrec;menjar;Dia;;;;;;;;;;;;;;;;mar-21;1883,78;142,24;0,00;0,00;0,00;5,69;14,67;0,00;0,00;2046,38;2046,38;0,00;-519,39;;0,00;0,00;mar-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43;BBVA;Däbit;29/03/2021;marzo;2021;;31,38 ?;CÖrrec;menjar;AreaGuissona;;;;;;;;;;;;;;;;abr-21;1027,83;302,85;0,00;0,00;0,00;41,86;0,00;59,38;239,86;1431,92;1431,92;0,00;463,33;;239,86;-180,48;abr-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44;BBVA;Compte;30/03/2021;marzo;2021;;100,00 ?;CÖrrec;despesa_general;Targeta IKEA;;;;;;;;;;;;;;;;mai-21;358,91;43,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;402,48;402,48;0,00;-238,00;;0,00;0,00;mai-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;BBVA;Däbit;30/03/2021;marzo;2021;;5,69 ?;CÖrrec;farmacia;FarmÖcia;;;;;;;;;;;;;;;;jun-21;120,16;0,00;0,00;0,00;0,00;0,00;0,00;36,43;0,00;156,59;156,59;0,00;-23,89;;0,00;36,43;jun-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;BBVA;Compte;30/03/2021;marzo;2021;400,00 ?;;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;;;;;jul-21;22,50;0,00;0,00;0,00;0,00;0,00;0,00;14,50;0,00;37,00;37,00;0,00;-37,00;;0,00;14,50;jul-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;BBVA;Compte;30/03/2021;marzo;2021;52,79 ?;;IngrÇs;cobrat;Cartera DP Gran;;;;;;;;;;;;;;;;ago-21;935,25;170,56;0,00;40,00;72,45;24,44;0,00;704,00;0,00;1946,70;1946,70;0,00;-1616,75;;0,00;704,00;ago-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;BBVA;Compte;30/03/2021;marzo;2021;11,99 ?;;IngrÇs;ingres_general;Cartera DP Petit;;;;;;;;;;;;;;;;set-21;1060,99;254,66;0,00;160,00;120,10;0,00;24,82;111,95;46,50;1732,52;1732,52;0,00;-95,93;;46,50;65,45;set-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;BBVA;Compte;30/03/2021;marzo;2021;;51,43 ?;CÖrrec;despesa_general;Endesa;;;;;;;;;;;;;;;;oct-21;339,45;315,17;0,00;170,00;221,40;13,75;0,00;507,84;0,00;1567,61;1567,61;0,00;188,62;;0,00;507,84;oct-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;BBVA;Compte;30/03/2021;marzo;2021;;;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;;;;;nov-21;1876,08;304,05;0,00;80,00;0,00;9,23;0,00;80,00;299,48;2349,36;2349,36;0,00;-275,44;;299,48;-219,48;nov-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;51;LaCaixa;Compte;30/03/2021;marzo;2021;;450,00 ?;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;;;;;des-21;1040,15;304,26;0,00;0,00;159,65;13,17;0,00;214,64;3,69;1731,87;1731,87;0,00;63,59;;3,69;210,95;des-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;52;BBVA;Compte;31/03/2021;marzo;2021;;201,11 ?;CÖrrec;despesa_general;Prästec cotxe;;;;;;;;;;;;;;;;ene-22;1076,74;452,50;0,00;137,35;193,20;20,95;0,00;207,21;3,59;2087,95;1903,05;184,90;1182,47;;3,59;203,62;ene-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;53;BBVA;Compte;31/03/2021;marzo;2021;;472,91 ?;CÖrrec;despesa_general;Hipoteca;;;;;;;;;;;;;;;;feb-22;1163,45;389,07;27,00;150,00;73,40;17,76;14,06;62,10;147,66;1896,84;1518,37;378,47;271,96;;147,66;-85,56;feb-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;54;BBVA;Compte;31/03/2021;marzo;2021;100,00 ?;;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;;;;;mar-22;1221,79;609,74;10,00;231,41;258,28;38,80;29,73;148,84;104,00;2548,59;2296,60;251,99;-516,42;;104,00;44,84;mar-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
