idPago;Banc;Formapago;Data;dia;mes;any;Categoria;Concepte;Import;pagat
125;BBVA;Compte;01/05/2023;1;mayo;2023;despesa_general;Endesa;14.88;pagat
126;BBVA;Compte;02/05/2023;2;mayo;2023;despesa_general;Ocaso;23.98;pagat
127;BBVA;Compte;04/05/2023;4;mayo;2023;despesa_general;Piscina;56.0;pagat
128;LaCaixa;Compte;05/05/2023;5;mayo;2023;despesa_general;Ajunt. Arb£cies;54.13;pagat
129;BBVA;Compte;07/05/2023;7;mayo;2023;asseguranáa;DP MP Mireia;20.38;pagat
130;BBVA;Compte;07/05/2023;7;mayo;2023;asseguranáa;DP Morts Enric;13.47;pagat
131;BBVA;Compte;07/05/2023;7;mayo;2023;asseguranáa;BBVA Asseg. Casa;35.4;pagat
132;Efectiu;;11/05/2023;11;mayo;2023;proveidor;Prolab;52.0;pagat
133;BBVA;Compte;12/05/2023;12;mayo;2023;despesa_general;Aigua;57.64;pagat
134;BBVA;Compte;17/05/2023;17;mayo;2023;despesa_general;Lowi;43.8;pagat
